X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid,shape
999848.4429,1005862.9808,5956,456A05,05,Br. Campín Occidental,AV. NQS,AV. NQS - CL 58A,Teusaquillo,-74.07887384,4.64921997,456,S,AV. NQS - CL 58A (456A05),AV. NQS - CL 58A,Avenida N Q S Calle 58 A,K,{2D9C175D-9E5A-43B3-941B-776B199360A9},
994818.0555,1006270.7595,5957,456A06,06,C.C.Multiplaza,Cl 19A,CL 19A - AV.Boyacá,Fontibón,-74.124211,4.652906,456,S,CL 19A - AV.Boyacá (456A06),CL 19A - AV.Boyacá,Calle 19 A Avenida Boyacá,K,{D83FE1AE-75EE-443A-BE20-BEDC6462CDE5},
990340.939,1005240.3689,5958,456A08,08,Br. Osorio,CL 26 S,CL 26 Sur - KR 89D,Kennedy,-74.16456054,4.64358425,456,S,CL 26 Sur - KR 89D (456A08),CL 26 Sur - KR 89D,Calle 26 Sur Carrera 89 D,F,{C8B045C0-6482-4585-87EA-1B97ECF87DBA},
993873.9648,1001141.7673,5959,456A09,09,Br. Alquería La Fragua Norte,Dg 34 Sur,DG 34 Sur - KR 68B,Kennedy,-74.13271617,4.6065234,456,S,DG 34 Sur - KR 68B (456A09),DG 34 Sur - KR 68B,Diagonal 34 Sur Carrera 68 Be,G,{C655C6CA-472B-4F96-A6CB-728F4F505A82},
991980.953,998822.998199999,5960,456A10,10,Pq.Rincón de Nuevo Muzú,KR 61 G,KR 61G - DG 52BSur,Tunjuelito,-74.149774,4.585553,456,S,KR 61G - DG 52BSur (456A10),KR 61G - DG 52BSur,Carrera 61 G Diagonal 52 Be Sur,H,{5DE1D917-D470-4CFA-9CC8-2078D7F317A1},
991873.4821,993431.141000001,5961,456A11,11,Br. El Tesoro,KR 18R,KR 18R - CL 78D Sur,Ciudad Bolívar,-74.15073757,4.53679373,456,S,KR 18R - CL 78D Sur (456A11),KR 18R - CL 78D Sur,Carrera 18 R Calle 78 D Sur,H,{148741B9-3949-4FAC-B47F-D3E5C0ED06BD},
995610.4335,997464.106699999,5962,456A12,12,Br. Granjas de San Pablo,CL 36 Sur,CL 36 Sur – KR 13F,Rafael Uribe,-74.11706516,4.57326695,456,S,CL 36 Sur – KR 13F (456A12),CL 36 Sur – KR 13F,Calle 36 Sur Carrera 13 F,H,{DAAD1862-8978-45DF-96D0-D55E0BA44039},
998848.5026,995613.5067,5963,456A13,13,Horacio Orjuela,DG 32B Sur,DG 32B Sur - TV 6 Este,San Cristóbal,-74.08788457,4.55653277,456,S,DG 32B Sur - TV 6 Este (456A13),DG 32B Sur - TV 6 Este,Diagonal 32 Be Sur Transversal Sexta Este,L,{ABB0CF7E-DE69-4F0E-8DEE-B1A969C87A65},
997410.0373,1011741.3273,5964,457A04,04,Est. AV. Cali,KR 85A,KR 85A - AC 80,Engativá,-74.100852,4.702378,457,S,KR 85A - AC 80 (457A04),KR 85A - AC 80,Carrera 85 A Avenida Calle 80,D,{B384CC21-41E1-45B8-B5CA-6DF9FEE9E906},
999641.9937,1003402.3068,5965,457A05,05,Estación Plaza de la Democracia,AC 26,AC 26 - AV. NQS,Teusaquillo,-74.08073439,4.62696784,457,S,AC 26 - AV. NQS (457A05),AC 26 - AV. NQS,Avenida Calle 26 Avenida N Q S,A,{892D5D57-B819-419B-B7F4-CEAFEA5024FF},
